Country,Continent,CorruptionControl,GovEffectiveness,PoliticalStability,RegulatoryQuality,RuleLaw,VoiceAccountability
"Gambia, The",Africa,-0.796910166740417,-0.843511879444122,-0.520871698856354,-0.509284317493439,-0.747435212135315,-1.27518129348755
Georgia,Europe,0.673087775707245,0.511828899383545,-0.286235988140106,1.00849997997284,0.36709526181221,0.216686278581619
Germany,Europe,1.82656192779541,1.74461901187897,0.76018899679184,1.81703913211823,1.60699951648712,1.32617294788361
Ghana,Africa,-0.166219040751457,-0.202281638979912,-0.162033557891846,-0.232526019215584,-0.00362927932292223,0.642395079135895
Greece,Europe,-0.05219491943717,0.211184680461884,-0.138517588376999,0.148314923048019,0.196004018187523,0.65334153175354
Greenland,North America,1.16830086708069,0.847037434577942,1.96148276329041,1.33472084999084,1.73632884025574,1.26906669139862
Grenada,North America,0.568943858146667,-0.179290071129799,1.01384449005127,0.0839798748493195,0.565270066261292,0.862975895404816
Guam,Oceania,1.23034083843231,0.265726029872894,0.671826660633087,0.13664747774601,1.09248089790344,
Guatemala,North America,-0.740638554096222,-0.604201674461365,-0.536551833152771,-0.202417522668839,-1.04046821594238,-0.307933002710342
Guinea,Africa,-0.942135035991669,-1.00802612304688,-0.407191723585129,-0.867670774459839,-1.28866505622864,-0.732261896133423
Guinea-Bissau,Africa,-1.55633580684662,-1.63544416427612,-0.504301130771637,-1.23583364486694,-1.49050045013428,-0.700723111629486
Guyana,South America,-0.320478618144989,-0.300763994455338,-0.0268098264932632,-0.416585773229599,-0.309569329023361,0.304307669401169
Haiti,North America,-1.34828674793243,-2.05826783180237,-0.674472987651825,-1.23842573165894,-0.998515665531158,-0.729568719863892
Honduras,North America,-0.689492046833038,-0.732573270797729,-0.362588584423065,-0.513025224208832,-1.1115403175354,-0.428190350532532
"Hong Kong SAR, China",Asia,1.5771564245224,1.86094462871552,0.841842353343964,2.15409326553345,1.69526934623718,0.268440127372742
Hungary,Europe,0.0812878683209419,0.452733814716339,0.714944005012512,0.603398501873016,0.510549545288086,0.370236337184906
Iceland,Europe,1.98773181438446,1.40809774398804,1.33469474315643,1.27678787708282,1.51031887531281,1.34152221679688
India,Asia,-0.302169322967529,0.100246459245682,-0.954577803611755,-0.306522995233536,-0.0703497380018234,0.414182215929031
Indonesia,Asia,-0.387860953807831,0.0135305961593986,-0.377522617578506,-0.12233479321003,-0.355571955442429,0.143167585134506
"Iran, Islamic Rep.",Asia,-0.716408312320709,-0.204273581504822,-0.744589269161224,-1.22947776317596,-0.712391138076782,-1.38611721992493
Iraq,Asia,-1.39599180221558,-1.26427257061005,-2.2778000831604,-1.12505328655243,-1.70130956172943,-1.01005792617798
Ireland,Europe,1.62767004966736,1.35085451602936,0.878766059875488,1.7411390542984,1.53666543960571,1.29209923744202
Israel,Asia,1.05970966815948,1.35250866413116,-0.827416777610779,1.31266343593597,1.01859557628632,0.771464586257935
