Date,F1 : Thermique non renouvelable,F2 : Bioénergies,F3 : Hydraulique,F4 : Eolien,F5 : Solaire,F6 : Autres
20181004,264482455.0,13889326242.0,4503118723.0,31566532039.0,32223670331.0,38100960.0
20181005,173921199.0,14047649407.0,4205228043.0,38082297374.0,31909623713.0,91099968.0
20181006,120655454.0,14060974410.0,4065255221.0,69229638204.0,23260352464.0,116683296.0
20181007,202726036.0,13263082411.0,4123393359.0,90001071703.0,13454164534.0,25300320.0
20181008,208777907.0,13151260076.0,4351125916.0,16565358374.0,17137723695.0,10543824.0
20181009,459395404.0,13262198580.0,4490919888.0,32992218039.0,24233911222.0,32551152.0
20181010,458173827.0,13244995909.0,5000897659.0,79379398539.0,16852279003.0,115136448.0
20181011,564008241.0,13474172910.0,5489431851.0,110138550874.0,18669872803.0,244136160.0
20181012,454045990.0,14060576907.0,5197751095.0,101551020369.0,24001525813.0,138883632.0
20181013,260480905.0,14639314077.0,5009862002.0,100225610705.0,25728701084.0,138734784.0
20181014,251914657.0,14675609908.0,4779583904.0,122582082701.0,17792839384.0,211856160.0
20181015,537484193.0,14013757242.0,6176905411.0,60622309872.0,13048637080.0,112603152.0
20181016,807604387.0,14061559801.0,6166401489.0,18024859299.0,18139593545.0,40715616.0
20181017,617127450.0,14468755213.0,6073663362.0,17908751135.0,17756813715.0,38428944.0
20181018,687485077.0,14229517207.0,6128386289.0,82339872965.0,19403605781.0,103604928.0
20181019,512968033.0,14593923660.0,6096542774.0,51013189346.0,25117430615.0,64663104.0
20181020,146245417.0,14936311495.0,5959909784.0,48146024015.0,24157034866.0,43921440.0
20181021,122747992.0,15211371996.0,5524712022.0,41548190346.0,26392224668.0,47652288.0
20181022,789793119.0,14469438995.0,5442541200.0,109059712012.0,23791317108.0,137399424.0
20181023,1201838015.0,14423019327.0,5317652786.0,73568873180.0,25959237586.0,69059424.0
20181024,1153352004.0,14606152996.0,5311589399.0,44377848017.0,25036249977.0,48255072.0
20181025,1148186758.0,14980651330.0,5260814334.0,20169471401.0,21925002878.0,25510896.0
20181026,948097733.0,15047776157.0,5326513876.0,37501967677.0,12510586991.0,66689760.0
20181027,643166142.0,14822926073.0,5776048044.0,46203376174.0,11220406579.0,43916448.0
20181029,1663249812.0,14280523408.0,6480000454.0,116512974177.0,5839114029.0,171993936.0
20181030,2499263265.0,14098069240.0,6947207832.0,118576986106.0,18454519523.0,326610624.0
20181031,8958663162.0,14898780404.0,7370290858.0,84328085608.0,7224313206.0,383767104.0
20181101,31211329162.0,15556746406.0,7246160250.0,79593538440.0,12175463402.0,711376272.0
20181102,33390410199.0,15370251908.0,7425538644.0,25978168106.0,15663434537.0,537760800.0
20181103,34211217273.0,15656184405.0,7788793198.0,45086532102.0,19252099839.0,579886272.0
20181104,33954291833.0,15608855404.0,7620265251.0,52005120271.0,17596233663.0,564308304.0
20181105,33389609200.0,15098522238.0,7815919600.0,76681519103.0,10585995024.0,557846784.0
20181106,33453681396.0,14985537938.0,8114821209.0,102986158998.0,9867273662.0,644981424.0
20181107,34261795240.0,15002404276.0,7795003876.0,165670791662.0,7556438627.0,632463456.0
20181108,34831159178.0,15330408107.0,8751059043.0,71329382662.0,14307603025.0,533849952.0
